Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202501,01,001,3,6,Autauga County                                              ,8,8,3130806,0,0,0,0,0,0,0,0,0,8,8,3130806,0,0,0,0,0,0,0,0,0
202501,01,003,3,6,Baldwin County                                              ,250,250,82062741,0,0,0,0,0,0,0,0,0,219,219,72846209,0,0,0,0,0,0,0,0,0
202501,01,005,3,6,Barbour County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,01,007,3,6,Bibb County                                                 ,1,1,243000,0,0,0,0,0,0,0,0,0,1,1,243000,0,0,0,0,0,0,0,0,0
202501,01,009,3,6,Blount County                                               ,1,1,151710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,01,011,3,6,Bullock County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,01,013,3,6,Butler County                                               ,1,1,91178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,01,015,3,6,Calhoun County                                              ,7,7,789430,0,0,0,0,0,0,0,0,0,7,7,789430,0,0,0,0,0,0,0,0,0
202501,01,017,3,6,Chambers County                                             ,6,6,1083749,0,0,0,0,0,0,0,0,0,5,5,961249,0,0,0,0,0,0,0,0,0
202501,01,019,3,6,Cherokee County                                             ,2,2,332300,0,0,0,0,0,0,0,0,0,1,1,120000,0,0,0,0,0,0,0,0,0
202501,01,021,3,6,Chilton County                                              ,3,3,494500,0,0,0,0,0,0,0,0,0,3,3,494500,0,0,0,0,0,0,0,0,0
202501,01,023,3,6,Choctaw County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,01,025,3,6,Clarke County                                               ,1,1,286000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,01,027,3,6,Clay County                                                 ,1,1,37500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,01,029,3,6,Cleburne County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,01,031,3,6,Coffee County                                               ,12,12,2828000,0,0,0,0,0,0,0,0,0,12,12,2828000,0,0,0,0,0,0,0,0,0
202501,01,033,3,6,Colbert County                                              ,6,6,597647,0,0,0,0,0,0,0,0,0,4,4,323115,0,0,0,0,0,0,0,0,0
202501,01,035,3,6,Conecuh County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,01,037,3,6,Coosa County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,01,039,3,6,Covington County                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,01,041,3,6,Crenshaw County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,01,043,3,6,Cullman County                                              ,25,25,4526438,0,0,0,0,0,0,0,0,0,24,24,4386438,0,0,0,0,0,0,0,0,0
202501,01,045,3,6,Dale County                                                 ,1,1,174050,0,0,0,0,0,0,0,0,0,1,1,174050,0,0,0,0,0,0,0,0,0
202501,01,047,3,6,Dallas County                                               ,1,1,124868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
